Help!	Kapadle
She smiled happily.	Aal kushit thelthal
She's not a doctor.	Aal doctor ath
That guy annoys me.	Aye yenk masth kiri-kiri manpve
The batter was out.	Batter pidhai poye
The crow flew away.	Kakke ravondh pondu
The power went out.	Current pondu
These dogs are big.	Indh nayi malla
This is Mary's dog.	Indh mary na nayi 
Was his story true?	Ayena kathe sathyana?
We are against war.	Nama yudhadha virudha ulla
We are against war.	Nama yudhadha virudha ulla
We enjoyed skating.	Namak skating gammath aand
We were in a hurry.	Nama amasarad itha
We were very tired.	Namak masth bachudh ithind
We're good friends.	Nama yedde dosthilu 
What a big pumpkin!	Yeth malla kumbalakayi
What's the problem?	Samasye dada?
When does it begin?	Yepa shuru aapund?
Where are the kids?	Jokul vol uller?
Where is the beach?	Kadal vol undu?
Which dog is yours?	Ninna nayi vow?
Who broke the vase?	Poodhanin yer pudathin?
Who made this cake?	Indh cake n yer manthin?
Who's at the wheel?	Yer gaadi budondh uller?
Whose book is this?	Yerna booku indh?
You may use my pen.	Yenna pen n upayoga manpoli
Answer my questions.	Yenna prashneg uthara koru
Are they in the gym?	Akul gym du ullera
Can you drive a car?	Nik gaadi budoliya?
Can you drive a car?	Nik gaadi budre barpunda?
Can you drive a car?	Ereg gaadi budoliya?
Can you drive a car?	Ereg gaadi budre barpunda?
Could you sign here?	Ereg moolu sahi padoliye?
Everybody likes her.	Aal panda pureregla ista
Everybody likes him.	Aye panda pureregla ista
Excuse me, I'm lost.	Ora kenvara, Yenna sadhi thathind
He called me a taxi.	Aye yenk taxi lepdaye
He felt very lonely.	Ayeg yerla ijjandhina lekka aand
He lives next to me.	Aye yenna barite upunu
He looks very tired.	Aye masth bachi leka ithe
He seems to be rich.	Aye kaas dhaye leka thojwe
He'll get well soon.	Aye bega ushar ape
He's in a bad state.	Ayena paristhithi sari ijji
How about the taste?	Ruchi yencha aand?
How did you make it?	Ee yencha mantha?
I am not from India.	Yan Bharathadhaye ath
I am reading a book.	Yan booku odhondh ulle
I bought an old car.	Yan parath gaadi dethonye
I can teach English.	Yenk English kalpawoli
I continued singing.	Yenk padhya panondh poye
I do not understand.	Yenk artha ayiji
I don't like summer.	Yenk besige kala ista ijji
I forgot to ask him.	Yenk ayeda kenre marath pond
I hate taking risks.	Apaya karya yenk apuji
I haven't eaten yet.	Yan nanala dhala thinthiji
I know both of them.	Yenk rad jana la gothund
I know what that is.	Yenk av dada andh gothund
I tried to tell you.	Yan nik panre prayathna manthe
I want to marry her.	Yenk alen madhme avod
I wanted her to win.	Yenk aal gelpod andh ithind
I'd like a city map.	Yenk onji oorudha nakshe bodu
I'd like to see her.	Yenk alen thoovod
I'd like to see her.	Yenk alen thoovare ista 
I'll be back at ten.	Yan path ganteg pira barpe
I'll bring the wine.	Yan wine kanape 
I'll bring the wine.	Wine yan kanape
I'll make you happy.	Yan ninan kushi manpve
I've already called.	Yan kare manthe
I've lost my ticket.	Yan ticket kaleyunde
Let's play baseball!	Nama baseball gobbuga
Must I write in ink?	Yan shayi d bareyoda?
My family loved Tom.	Yenna kutumbag Tom ista
My money was stolen.	Yenna kaas lakkayer
My sister has a job.	Yenna akka bele manpwal
My sister has a job.	Yenna medhi bele manpwal
She kept on working.	Aal bele manthondhe ithal
She pulled my shirt.	Aal yenna angi voithal
That is not a tiger.	Av pili ath
That was my mistake.	Av yenna thappu
The skies are clear.	Bana thelidhind
The trees are green.	Mara pache undu
These are our books.	Indh yenklena booku
This is what I need.	Indh yenk bode 
Watch your language.	Nalai pathudh patherla
We are good friends.	Nama yedde dosthilu
We must pay the tax.	Nama tax kattode
What did you answer?	Ee dada uttara korya?
What is in this box?	Dabbi d dhadha undu?
What were you doing?	Ee dhadha manthondh itha?
Where are you going?	Ee vode povondh ulla?
Where are you going?	Eer vode povondh ullar?
Where's the airport?	Airport vol undu?
Which book is yours?	Ninna booku vow?
Who is your teacher?	Ninna guru yer?
Why didn't you come?	Ee dhaye baidhija?
Will you go with us?	Ee namot popana?
Winter is coming on.	Chaligala barondh undu  
You are at it again.	Ee ait kuda ulla
You may rely on him.	Nik ayena mith baravase manpoli
You must forgive me.	Ee yenan maaf manpu
You must forgive me.	Eer yenan maaf manple
You must study hard.	Ee yedde manthudh kalpod
You're a life saver.	Ee yenna jeeva orithinayi
Didn't I tell you so?	Yan nik ancha pandijena?
Do you have a pencil?	Ninada pencil unda?
Do you live in Tokyo?	Ee tokyo d upuna?
Do you speak English?	Ee english pathervana?
Don't open your book.	Booku depodchi
Don't worry about me.	Yenna bagge chinthe manpodchi 
Don't worry about us.	Yenklena bagge chinthe manpodchi
Fish live in the sea.	Meen kadal du badhukund
Go tell him yourself.	Podh ayedane pann
Have you been abroad?	Ee vidheshag pothana?
He envied my success.	Ayeg yenna yashash thoodh nanji aand
He got angry with me.	Aye yenna mith kopa
He has been to India.	Aye Bharathag podhithe
He is angry with you.	Ayeg ninna mith kopa
He is hard to please.	Ayen kushi manpare baari banga 
He is in poor health.	Ayena arogya sari ijji
He lent me two books.	Aye yenk rad booku korthe
He made up an excuse.	Aye onji nevana manthe
He married for money.	Aye kaas goskara madhime manthe
He saw a pretty girl.	Aye onji porlu dha ponnan thooye
He wanted to succeed.	Ayeg yashash bodithind
How's your job going?	Bele yencha povondh undu?
I agree to this plan.	Yan ninna yojane opve
I am a stranger here.	Yan mulpa dhaye ath
I am counting on you.	Yan ninna mith baravase dheethe
I am eating an apple.	Yan onji eppul thinondh ulle
I am eating an apple.	Onji eppul yan thinondh ulle
I don't mind waiting.	Yan kapunek dhala yenuji
I expect him to come.	Yan aye barpe pandh yendhe
I feel like vomiting.	Yenk kakkare barpilekka avondh undu
I have a few friends.	Yenk chur dostilu uller
I have a stomachache.	Yenk banjibene
I have back problems.	Yenk swanta du samasye undu
I have been to Kyoto.	Yan kyoto g pothe
I have caught a cold.	Yenk sheetha pathind
I just cut my finger.	Yan yenna berelun kadth padye
I know why he did it.	Yenk gothund aye dhaye ancha manthe pandh
I live in a big city.	Yan onji malla pradeshad 
I lost consciousness.	Yenk amal aand
I lost consciousness.	Yenk amal aand
I meant it as a joke.	Yan kushal manthondh ithe 
I meant it as a joke.	Yan kushal manthondh ithe 
I met Mary yesterday.	Yan Mary n kode thikye
I think you're right.	Yenk ee sari andh thojund
I want my money back.	Yenk yenna kaas bodu
I will come with you.	Yan ninnotugu barpe
I'll admit I'm wrong.	Yan yenna thappu opve
I'll never come back.	Yan nana yepala pirav barpuji 
I'm allergic to fish.	Yan meen panda dhoora
I've lost my glasses.	Yenna chasma dhakudh pond
I've lost my glasses.	Yenna chasma dhakudh pond
I've made a decision.	Yan onji nirdhara manthe
Is he reading a book?	Aye booku odhondh ullena?
Is it open on Sunday?	Av aithara 
Is the phone ringing?	Phone barondh unda?
It is already eleven.	Ithe pathonji aand
It is free of charge.	Av dharamaga
It's an easy victory.	Indh aramad gendhiya
Let me take you home.	Yan ninnan illag lethondh pope
Lincoln died in 1865.	Lincoln 1865 du saithe
Please do it quickly.	Rappa manpu
Please shut the door.	Dhayamanthudh bhakil muchi
She gave him a watch.	Aal yenk watch koryal
She wore a red dress.	Aal onji kempu batte padyal
She wore a red dress.	Aar onji kempu batte padyer
That's his specialty.	Av ayena visheshathe
The house is haunted.	Indh illad bootha undu 
The house was ablaze.	Illag thoo pathund
The man looked at me.	Av aan yenane thoovondh ither
The sheets feel damp.	Mandhiri chandi ithi leka undu 
The water pipe burst.	Neer dha pipe pudand
These books are mine.	Indh poora yenna booku
These shoes are hers.	Indh bootu poora alna
They went to the zoo.	Akul zoo kh poyer
This feels like silk.	Indh reshme leka undu
This watch is broken.	Indh watch lagadi pond
Time goes by quickly.	Samaya bega popund
Wash your hands well.	Kai sari dhekla
What day is it today?	Ini waa dhina?
What did Galileo see?	Galileo dhadha thooye?
What did Galileo see?	Galileo g dhadha thojind?
What does it contain?	Ait dhadha undu?
When did you see her?	Alen ee yepa thooya?
When will you return?	Ee yepa pirav barpa?
Where is the problem?	Samasye vol undu?
Where is the problem?	Vol undu samasye?
Where is your father?	Ninna ammer vol uller?
Will you go by train?	Ee rail du popana?
You can't prove that.	Nik aven saabith manpare aapuji 
You look happy today.	Ini ee masth kushit ithileka thojund
Your dog is very big.	Ninna nayi masth malla undu
Your dog is very fat.	Ninna nayi masth thora undu
Can I use your pencil?	Yan ninna pencil upayoga manpoliya?
Can the rumor be true?	Av gaali-sudhi satya adhupuva?
Can you keep a secret?	Nik onji guttu dheevoliya?
Did you see my camera?	Ee yenna camera thooyana?
Do you believe in God?	Ee dheveren nambwana?
Do you know your size?	Nik ninna alathe gothunda?
Do you like this book?	Nik indh booku ista unda?
Does he speak English?	Aye english pathervena?
Don't be disappointed.	Bejar avodchi
Fat hens lay few eggs.	Thoradha kori kammi thethi deepund
Has the bell rung yet?	Gante botunda?
He accepted our offer.	Aye yenklena 
He became a policeman.	Aye police officer aye
He became a policeman.	Aye police officer aye
He climbed the stairs.	Aye muttu mitharye 
He deals in furniture.	Aye charachindhigedha vyapara manpuve 
He got a lot of money.	Ayeg masth kaas thikind
He has a little money.	Ayeda kammi kaas undu
He has a lot of money.	Ayeda masth kaas undu
He is a sharp-shooter.	Aye onji churuku-gurikara
He is poor, but happy.	Aye badave aanda kushit ulle
He is tall and strong.	Aye udha boka gatti
He knows us very well.	Ayeg yenklena bagge yedde gothund
He looks like a horse.	Ayeg kudhure lekka thojvw
He must be over sixty.	Areg ajipadh jaasti praya athind
He sang while working.	Aye bele manpunaga padhya panye
He was my dear friend.	Aye yenna chaddi dosti
He was sick last week.	Ayeg onji vara dhumbu ushar ithiji
He won the race again.	Aye kuda ota gendhiye
He writes beautifully.	Aye baari shok barepe
How do you feel today?	Yencha ulla ini?
I am grateful to them.	Yenk aklena krithajnathe
I am poor at swimming.	Yenk neendhare barpuji
I am tired of my work.	Yenk yenna beled-dhu bachind
I can't let you leave.	Yenk ninnan budre apuji
I dove into the river.	Yan nadhi g lagye
I have made him angry.	Yan ayeg becha lakkaye
I live in Boston, too.	Yanla boston du upunu
I made him my servant.	Ayen yan yenna bele dhaye manthe
I never liked biology.	Yenk jeevashasthra istane athiji
I ran away in a hurry.	Yan amasarad balthe
I want to visit Korea.	Yenk korea g povod
I'm too tired to walk.	Yan masth bachidhe yenk nadapare apuji
I've made my decision.	Yan nirdhara manthe
Is Mary your daughter?	Mary ninna magala?
Is your watch correct?	Ninna watch sari unda?
It will snow tomorrow.	Yelle hima burund
Let's start the party.	Party shuru manpuga
Make yourself at home.	Indh ninna illa andhe yenla
May comes after April.	Sona Aati ayi boka barpunu 
My car is not running.	Yenna gaadi balthondh ijji
My eye has swollen up.	Yenna kann bathund
Not all birds can fly.	Poora pakki g rapare apuji 
Please close the door.	Dhayamanthudh bakil bandh manple
Please leave me alone.	Yennan yenatheg budle
Please throw the ball.	Chendu dhakle
Put it where you like.	Nik vol bodu avulu paad
Put it where you like.	Ereg vol bodu avulu padle
Put it where you like.	Ereg vol bodu avulu padle
She always works hard.	Aal yepala banga barpal
She asked me for help.	Aal yenna sahaya kenyal 
She got me a tiny toy.	Aal yenk yellia aatike koryal
She hated her husband.	Aleg alna gandanin thoonda avondh ithiji
She is five years old.	Aleg ain varsha
She lived a long life.	Aar masth samaya badhukyer
She's a stubborn girl.	Aal onji hatamaari ponnu
Sit wherever you like.	Vol bodu avlu kullu
Tell me what happened.	Dadand yenada panla
The lake is deep here.	Kere moolu aala undu 
The man lost all hope.	Av maani matha baravase n kalethe
The station is nearby.	Station kaithal undu
They hated each other.	Akuleg thoonda avondh ithiji
They made fun of Mary.	Akul Mary na makkar manther
They missed the train.	Akelna rail bud-dhu pond
They shouted for help.	Akul sahaya g kalkyer
They shouted for help.	Akul sahaya g kalkyer
This is an apple, too.	Indhla onji eppul
Tom and I are friends.	Tom boka yan dostilu
We accepted his offer.	Nama ayena opiggen sweekara mantha
We are disturbing him.	Nama ayeg upadhra manthondh ulla
We rested for a while.	Nama chur porth vishrama dhetha
Well, I must be going.	Yenk poyare undu
What is this nonsense?	Indh dhadha budhidhanthinavu?
What're you two doing?	Nikul radd jana dada manthondh ullar?
What're you two doing?	Nikul radd jana dada manthondh ullar?
Where is the elevator?	Lift vol undu?
Whose books are these?	Indh yerna booku?
Will he come tomorrow?	Aye yelle barpena?
Will he come tomorrow?	Aar yelle barpera?
You didn't understand.	Nik artha ayiji
You reap what you sow.	Ee manthina nikke thikund
You reap what you sow.	Eer manthina erege thikund
You reap what you sow.	Yedde manthinda yedde aapundu
You reap what you sow.	Yedde manthinda yedde aapundu
You reap what you sow.	Yedde manthinda yedde aapundu
Your hair is too long.	Ninna kujar masth udha undu
